n_ants,max_iter,alpha,beta,rho,avg_fitness,std_fitness,all_fitnesses
20,100,1.5,1.0,0.5,317.1993861875364,0.0,"[np.float64(317.1993861875364), np.float64(317.1993861875364), np.float64(317.1993861875364)]"
20,100,1.5,1.5,0.3,317.1993861875364,0.0,"[np.float64(317.1993861875364), np.float64(317.1993861875364), np.float64(317.1993861875364)]"
20,100,1.5,1.5,0.4,317.1993861875364,0.0,"[np.float64(317.1993861875364), np.float64(317.1993861875364), np.float64(317.1993861875364)]"
20,100,1.5,1.5,0.5,319.00888810215423,2.5590221487926317,"[np.float64(317.1993861875364), np.float64(317.1993861875364), np.float64(322.6278919313899)]"
20,100,1.5,2.0,0.3,317.1993861875364,0.0,"[np.float64(317.1993861875364), np.float64(317.1993861875364), np.float64(317.1993861875364)]"
20,100,1.5,2.0,0.4,317.1993861875364,0.0,"[np.float64(317.1993861875364), np.float64(317.1993861875364), np.float64(317.1993861875364)]"
20,100,1.5,2.0,0.5,317.1993861875364,0.0,"[np.float64(317.1993861875364), np.float64(317.1993861875364), np.float64(317.1993861875364)]"
20,100,2.0,1.0,0.3,322.35256615108796,7.287696993803862,"[np.float64(317.1993861875364), np.float64(317.1993861875364), np.float64(332.658926078191)]"
20,100,2.0,1.0,0.4,328.85336263534896,12.835449388120626,"[np.float64(322.6278919313899), np.float64(346.73280978712063), np.float64(317.1993861875364)]"
20,100,2.0,1.0,0.5,332.85473675115685,12.069618384748063,"[np.float64(346.5727457228173), np.float64(334.7920783431168), np.float64(317.1993861875364)]"
20,100,2.0,1.5,0.3,325.7105044319537,6.0208657443126725,"[np.float64(330.1825956273439), np.float64(317.1993861875364), np.float64(329.7495314809809)]"
20,100,2.0,1.5,0.4,317.1993861875364,0.0,"[np.float64(317.1993861875364), np.float64(317.1993861875364), np.float64(317.1993861875364)]"
20,100,2.0,1.5,0.5,339.54979577084674,16.325092030881464,"[np.float64(317.1993861875364), np.float64(355.73572289753764), np.float64(345.7142782274662)]"
20,100,2.0,2.0,0.3,319.00888810215423,2.5590221487926317,"[np.float64(317.1993861875364), np.float64(322.6278919313899), np.float64(317.1993861875364)]"
20,100,2.0,2.0,0.4,321.25198932744144,2.8880893045868805,"[np.float64(322.83795512809144), np.float64(323.7186266666966), np.float64(317.1993861875364)]"
20,100,2.0,2.0,0.5,319.37331132842775,3.0743944178323974,"[np.float64(323.72116161021046), np.float64(317.1993861875364), np.float64(317.1993861875364)]"
24,50,1.0,1.0,0.3,321.3827679520179,5.91619522791404,"[np.float64(317.1993861875364), np.float64(329.7495314809809), np.float64(317.1993861875364)]"
24,50,1.0,1.0,0.4,325.5661497164994,5.91619522791404,"[np.float64(329.7495314809809), np.float64(317.1993861875364), np.float64(329.7495314809809)]"
24,50,1.0,1.0,0.5,317.19938618753645,5.684341886080802e-14,"[np.float64(317.1993861875364), np.float64(317.1993861875364), np.float64(317.1993861875365)]"
24,50,1.0,1.5,0.3,317.1993861875364,0.0,"[np.float64(317.1993861875364), np.float64(317.1993861875364), np.float64(317.1993861875364)]"
24,50,1.0,1.5,0.4,317.1993861875364,0.0,"[np.float64(317.1993861875364), np.float64(317.1993861875364), np.float64(317.1993861875364)]"
24,50,1.0,1.5,0.5,317.1993861875364,0.0,"[np.float64(317.1993861875364), np.float64(317.1993861875364), np.float64(317.1993861875364)]"
24,50,1.0,2.0,0.3,317.1993861875364,0.0,"[np.float64(317.1993861875364), np.float64(317.1993861875364), np.float64(317.1993861875364)]"
24,50,1.0,2.0,0.4,317.1993861875364,0.0,"[np.float64(317.1993861875364), np.float64(317.1993861875364), np.float64(317.1993861875364)]"
24,50,1.0,2.0,0.5,317.1993861875364,0.0,"[np.float64(317.1993861875364), np.float64(317.1993861875364), np.float64(317.1993861875364)]"
24,50,1.5,1.0,0.3,318.51922451831297,1.8665332675241286,"[np.float64(321.1589011798662), np.float64(317.1993861875364), np.float64(317.1993861875364)]"
24,50,1.5,1.0,0.4,317.1993861875364,0.0,"[np.float64(317.1993861875364), np.float64(317.1993861875364), np.float64(317.1993861875364)]"
24,50,1.5,1.0,0.5,317.1993861875364,0.0,"[np.float64(317.1993861875364), np.float64(317.1993861875364), np.float64(317.1993861875364)]"
24,50,1.5,1.5,0.3,319.37331132842775,3.0743944178323974,"[np.float64(323.72116161021046), np.float64(317.1993861875364), np.float64(317.1993861875364)]"
24,50,1.5,1.5,0.4,317.1993861875364,0.0,"[np.float64(317.1993861875364), np.float64(317.1993861875364), np.float64(317.1993861875364)]"
24,50,1.5,1.5,0.5,318.51922451831297,1.8665332675241286,"[np.float64(321.1589011798662), np.float64(317.1993861875364), np.float64(317.1993861875364)]"
24,50,1.5,2.0,0.3,317.1993861875364,0.0,"[np.float64(317.1993861875364), np.float64(317.1993861875364), np.float64(317.1993861875364)]"
24,50,1.5,2.0,0.4,319.37331132842775,3.0743944178323974,"[np.float64(323.72116161021046), np.float64(317.1993861875364), np.float64(317.1993861875364)]"
24,50,1.5,2.0,0.5,317.1993861875364,0.0,"[np.float64(317.1993861875364), np.float64(317.1993861875364), np.float64(317.1993861875364)]"
24,50,2.0,1.0,0.3,331.4277291609459,1.989689548644145,"[np.float64(332.658926078191), np.float64(328.62091816968297), np.float64(333.0033432349637)]"
24,50,2.0,1.0,0.4,340.6575623164418,10.73919217619651,"[np.float64(330.0966656478467), np.float64(336.4857109801638), np.float64(355.3903103213149)]"
24,50,2.0,1.0,0.5,331.64023120493863,8.07040975944031,"[np.float64(342.3332070057435), np.float64(322.83795512809144), np.float64(329.7495314809809)]"
24,50,2.0,1.5,0.3,323.67240448186453,4.620288047752975,"[np.float64(326.1371506555169), np.float64(327.68067660254025), np.float64(317.1993861875364)]"
24,50,2.0,1.5,0.4,318.51922451831297,1.8665332675241286,"[np.float64(321.1589011798662), np.float64(317.1993861875364), np.float64(317.1993861875364)]"
24,50,2.0,1.5,0.5,332.7532956070269,8.359889487969083,"[np.float64(325.2469746955451), np.float64(328.59614708290036), np.float64(344.4167650426353)]"
24,50,2.0,2.0,0.3,317.1993861875364,0.0,"[np.float64(317.1993861875364), np.float64(317.1993861875364), np.float64(317.1993861875364)]"
24,50,2.0,2.0,0.4,321.1828132430456,2.851850624603738,"[np.float64(322.6278919313899), np.float64(317.1993861875364), np.float64(323.72116161021046)]"
24,50,2.0,2.0,0.5,327.47459929268484,8.9855937654807,"[np.float64(317.1993861875364), np.float64(326.1371506555169), np.float64(339.0872610350013)]"
24,100,1.0,1.0,0.3,317.1993861875364,0.0,"[np.float64(317.1993861875364), np.float64(317.1993861875364), np.float64(317.1993861875364)]"
24,100,1.0,1.0,0.4,317.1993861875364,0.0,"[np.float64(317.1993861875364), np.float64(317.1993861875364), np.float64(317.1993861875364)]"
24,100,1.0,1.0,0.5,317.1993861875364,0.0,"[np.float64(317.1993861875364), np.float64(317.1993861875364), np.float64(317.1993861875364)]"
24,100,1.0,1.5,0.3,317.1993861875364,0.0,"[np.float64(317.1993861875364), np.float64(317.1993861875364), np.float64(317.1993861875364)]"
24,100,1.0,1.5,0.4,317.1993861875364,0.0,"[np.float64(317.1993861875364), np.float64(317.1993861875364), np.float64(317.1993861875364)]"
24,100,1.0,1.5,0.5,317.1993861875364,0.0,"[np.float64(317.1993861875364), np.float64(317.1993861875364), np.float64(317.1993861875364)]"
24,100,1.0,2.0,0.3,317.1993861875364,0.0,"[np.float64(317.1993861875364), np.float64(317.1993861875364), np.float64(317.1993861875364)]"
24,100,1.0,2.0,0.4,317.1993861875364,0.0,"[np.float64(317.1993861875364), np.float64(317.1993861875364), np.float64(317.1993861875364)]"
24,100,1.0,2.0,0.5,317.1993861875364,0.0,"[np.float64(317.1993861875364), np.float64(317.1993861875364), np.float64(317.1993861875364)]"
24,100,1.5,1.0,0.3,317.1993861875364,0.0,"[np.float64(317.1993861875364), np.float64(317.1993861875364), np.float64(317.1993861875364)]"
24,100,1.5,1.0,0.4,317.1993861875364,0.0,"[np.float64(317.1993861875364), np.float64(317.1993861875364), np.float64(317.1993861875364)]"
24,100,1.5,1.0,0.5,317.1993861875364,0.0,"[np.float64(317.1993861875364), np.float64(317.1993861875364), np.float64(317.1993861875364)]"
24,100,1.5,1.5,0.3,317.1993861875364,0.0,"[np.float64(317.1993861875364), np.float64(317.1993861875364), np.float64(317.1993861875364)]"
24,100,1.5,1.5,0.4,317.1993861875364,0.0,"[np.float64(317.1993861875364), np.float64(317.1993861875364), np.float64(317.1993861875364)]"
24,100,1.5,1.5,0.5,317.1993861875364,0.0,"[np.float64(317.1993861875364), np.float64(317.1993861875364), np.float64(317.1993861875364)]"
